scientificName,med_lat,med_long,n_chesshire,area_m2,area_ha,spherical_geometry,mean_doy,med_doy,quant10,quant90,flight_season
Agapanthinus callophilus,35.848,-116.226,3,4169877004.96599,416987.700496599,TRUE,153,159,144.6,159,14.4
Agapostemon angelicus,35.594,-109.26,3265,9910958015606.64,991095801.560664,TRUE,184.673469387755,185,116,252,136
Agapostemon coloradinus,41.72,-104.967,109,1783836249093.02,178383624.909302,TRUE,213.223300970874,191,163,282.2,119.2
Agapostemon femoratus,40.252,-114.734,1061,5762833596861.12,576283359.686112,TRUE,197.160678642715,197,140,252.9,112.9
Agapostemon melliventris,33.054,-110.938,1465,5244176882755.38,524417688.275537,TRUE,197.688372093023,200,98,288,190
Agapostemon nasutus,19.533,-97.516,385,4055425724548.06,405542572.454806,TRUE,196.911290322581,201,75.1,313.9,238.8
Agapostemon obliquus,31.333,-109.257,527,6140399564757.76,614039956.475776,TRUE,193.506024096386,199.5,102,268,166
Agapostemon sericeus,41.212,-81.455,1431,6877058866340.17,687705886.634017,TRUE,200.668416447944,204,133,270,137
Agapostemon splendens,31.072,-81.389,2610,9727276162905.33,972727616.290533,TRUE,209.899339933993,211,113,313,200
Agapostemon texanus,38.227,-110.233,3631,12355187911164.4,1235518791.11644,TRUE,197.582978723404,198,115,276,161
Agapostemon tyleri,31.341,-109.1495,304,2397662158115.82,239766215.811582,TRUE,197.223529411765,210,99,272,173
Agapostemon virescens,41.378,-77.264,5697,11192869280515.6,1119286928.05156,TRUE,203.932787843366,197,154,266,112
Ancylandrena atoposoma,34.1,-117.372,77,195898452920.394,19589845.2920394,TRUE,128.720588235294,132.5,107.7,148.3,40.6
Ancylandrena koebelei,36.308,-114.6,19,74271071004.7034,7427107.10047034,TRUE,121.470588235294,123,95.2,140,44.8
Ancylandrena larreae,33.221,-114.051,215,826675528853.529,82667552.8853529,TRUE,103.978947368421,101.5,82.8,129.1,46.3
Ancylandrena rozeni,32.22,-110.926,9,14572525777.1193,1457252.57771193,TRUE,99.6,104,86,109,23
Ancylandrena timberlakei,34.3665,-114.7645,56,445314419987.324,44531441.9987324,TRUE,103.914893617021,96,73.6,137.4,63.8
Ancyloscelis apiformis,20.875,-93.0625,170,2542862757955.67,254286275.795566,TRUE,209.88622754491,218,88.6,307,218.4
Ancyloscelis sejunctus,29.424,-100.4235,12,1308478855204.66,130847885.520466,TRUE,216.5,222,177.2,244.9,67.7
Andrena ablegata,42.0855,-111.781,56,846800552001.95,84680055.200195,TRUE,159.877551020408,157,130.8,185.6,54.8
Andrena accepta,38.972,-99.52,254,6018384098388.54,601838409.838854,TRUE,240.534391534392,243,222.6,270,47.4
Andrena aculeata,45.8825,-117.549,4,169821501836.28,16982150.183628,TRUE,172.5,172.5,137.7,207.3,69.6
Andrena afimbriata,30.21,-97.114,5,176833451.884031,17683.3451884031,TRUE,106.6,103,100.8,114,13.2
Andrena agoseridis,35.237,-117.9975,68,222459146061.484,22245914.6061485,TRUE,111.44776119403,109,89.6,129.4,39.8
Andrena alamonis,33.253,-106.778,13,534793121079.959,53479312.1079959,TRUE,97.2727272727273,96,87,106,19
Andrena algida,43.14,-105.277,153,13220113793497.4,1322011379.34974,TRUE,145.365384615385,143,110,185.4,75.4
Andrena aliciae,40.549,-83.887,104,4491366319645.76,449136631.964576,TRUE,232.886363636364,233.5,213.1,260,46.9
Andrena aliciarum,31.982,-109.0885,18,223623971540.244,22362397.1540244,TRUE,243.3,244.5,227.2,256.8,29.6
Andrena alleghaniensis,41.9845,-76.497,188,2639160136756.48,263916013.675648,TRUE,145.96261682243,149,124,174.8,50.8
Andrena amphibola,41.654,-111.975,241,3226842960789.05,322684296.078905,TRUE,177.260465116279,179,147.4,206,58.6
Andrena anatolis,33.956,-117.372,59,67791922687.6715,6779192.26876715,TRUE,84.4444444444444,74,61,117.4,56.4
Andrena andrenoides,39.28,-95.186,232,6499923050691.73,649992305.069173,TRUE,124.086294416244,121,98.6,151,52.4
Andrena angelesia,33.794,-117.3575,20,5178616633.28955,517861.663328955,TRUE,99.2105263157895,100,79.2,117,37.8
Andrena angustella,37.8235,-122.169,68,688149080640.034,68814908.0640035,TRUE,106.661016949153,106,70.4,130,59.6
Andrena angusticrus,35.329,-120.3765,10,33935616401.5342,3393561.64015342,TRUE,124.8,109.5,95.4,139.4,43.9999999999999
Andrena angustitarsata,38.475,-119.989,986,3496405107102.15,349640510.710215,TRUE,117.692737430168,119,64,166.6,102.6
Andrena anisochlora,38.545,-121.739,54,886356254468.721,88635625.4468721,TRUE,95.125,88.5,62,140.6,78.6
Andrena annectens,37.333,-121.021,8,21285759049.532,2128575.9049532,TRUE,106.875,98,83.9,145,61.1
